構想区域人口,手術総数,救急車の受入件数,施設全体_医師_常勤,新規入棟患者数のうち施設からの入院の割合,新規入棟患者数のうち他病棟、他院から転棟の割合,新規入棟患者のうち夜間・時間外に受診診察後直ちに入院となった患者の割合,病床利用率,平均存棟日数,院内総病床数,病床数の全体に占める割合,構想区域人口あたりの医師数,構想区域内の救急車受入数の最大割合
1139459,2234.0,2995,86,4.854777606285954,21.004630279219867,12.59041314208655,77.99697622211023,11.80119229169555,323,92.56965944272446,1.2672680631773499,10.709672915139457
233055,198.0,0,2,0.0,0.0,0.0,42.3709167544784,6.097043214556482,26,100.0,0.9602883439531442,32.00323537341602
186231,300.0,45,1,0.0,0.0,2.3094688221709005,9.597602739726028,2.5889145496535795,64,100.0,1.0793047344427082,45.72154310207969
826161,434.0,8888,158,6.508875739644971,9.112426035502958,9.19025860850723,75.95319634703196,5.258644536652835,477,10.062893081761008,1.1325879580372349,24.94387067804221
916760,258.0,0,2,0.0,0.0,0.0,51.788226582747136,7.702643171806168,37,100.0,2.167197521706881,11.943918756830236
771746,60.0,367,4,21.99367088607595,28.79746835443038,10.18041237113402,101.70755017521503,25.27790973871734,65,66.15384615384615,4.576505741526358,8.977671512861054
223903,0.0,324,22,38.422818791946305,13.087248322147651,10.300429184549357,49.72994129158513,42.63758389261745,120,58.333333333333336,1.1580907803825762,39.17014319539971
1366912,2140.0,2312,56,6.101759755164498,6.178270849273145,8.237041928029052,64.8921867072552,10.709859744609588,270,80.0,1.1271391281955239,17.221327822764735
310282,5.0,71,15,5.918727915194346,70.6713780918728,2.6490066225165565,72.89450275751645,17.95530236634531,199,38.69346733668342,1.215668327521416,50.04073504118766
186231,126.0,71,9,6.049822064056939,5.6939501779359425,4.733727810650888,46.81969640873751,23.104750304506698,143,77.62237762237763,1.0793047344427082,45.72154310207969
2501526,0.0,0,4,0.0,96.875,0.0,31.91780821917808,325.3207547169811,130,56.92307692307692,1.437002853458249,11.79884939387713
211617,600.0,1210,17,16.775599128540307,24.57516339869281,8.00299177262528,89.08994371880641,18.254134029590947,199,64.82412060301507,1.659602016851198,22.249589490968802
215393,193.0,241,18,4.0682414698162725,10.104986876640421,7.956989247311828,56.372121029655275,12.354998350379413,185,49.18918918918919,0.9127501822250491,55.08253692441355
820860,555.0,10,10,0.0,14.206896551724139,0.0,70.68036529680364,21.350344827586206,161,37.267080745341616,1.0186877177594231,22.799317239697633
1155470,718.0,60,4,0.0,2.2280471821756227,0.0,56.877746187645386,14.420707732634337,53,100.0,3.779068257938328,4.6812581991063595
771746,239.0,846,7,6.807286673058485,8.053691275167784,13.907849829351534,86.37239979705734,16.25202863961814,80,67.5,4.576505741526358,8.977671512861054
423668,0.0,656,7,4.292237442922374,4.5662100456621,17.109634551495017,78.16962984552609,12.280219780219781,77,61.038961038961034,2.5111644023150204,36.911401138389
514824,4649.0,6021,181,1.7903899228646238,16.332885146132618,11.8705470353822,78.73596561912436,10.457866571530504,570,89.47368421052632,1.3897953475362452,37.609492988133766
514824,6539.0,8716,177,4.051020408163265,19.316326530612248,13.172971606706547,105.18674075988629,8.17860731511254,497,85.3118712273642,1.3897953475362452,37.609492988133766
820860,1315.0,1884,35,2.0948970456580125,10.528200537153088,12.958470101327244,60.758344055097254,7.17554522702896,227,79.73568281938326,1.0186877177594231,22.799317239697633
247904,859.0,1478,14,16.265270506108205,1.8499127399650959,18.435395960243667,70.29277464410421,14.235720761559383,255,60.0,1.01006841357945,37.806973218797374
107460,2117.0,1649,42,5.309063329541145,25.7679180887372,9.976028028766365,84.3876305438763,12.035786826578972,210,96.19047619047619,1.1306532663316582,43.30357142857143
1617143,460.0,688,22,2.5185185185185186,11.185185185185185,16.589506172839506,49.59128677296204,16.333579881656803,241,50.62240663900415,2.29033548671948,9.187337945951942
3777491,1165.0,770,20,11.258278145695364,12.91390728476821,6.1578774975434,47.448831587429495,9.560642961519727,210,80.95238095238095,1.054112372471569,8.412692883764674
1475635,1450.0,1363,30,5.301274623406721,10.660486674391658,6.633835457705678,30.993492012924957,9.902864621201106,301,100.0,1.4362630325249808,11.383744470270676
295593,136.0,127,10,2.010968921389397,6.550883607556369,1.4412683161181838,69.78896704924102,11.461289014997973,282,39.36170212765957,1.1803391825922809,40.20504905743578
373497,78.0,946,10,2.966841186736475,4.101221640488656,38.40991223541559,79.31506849315069,10.109122653862942,160,25.0,0.8080386187840867,44.341654039397085
1475635,627.0,416,7,3.646308113035551,7.566089334548769,5.9370529327610875,59.51651893634166,10.021709633649932,88,57.95454545454546,1.4362630325249808,11.383744470270676
2396732,55.0,66,4,8.29310124164163,17.59289694723542,89.74358974358975,47.3136754121198,45.18403547671841,166,35.54216867469879,1.7121230074952059,7.814305820965546
1993903,40.0,290,28,4.761904761904762,53.67965367965368,45.45454545454545,71.60190103438636,54.96137339055794,49,100.0,1.4352252842791249,11.019536882580791
519577,5290.0,5668,127,2.196760854583046,1.3783597518952446,17.555154948922656,96.1025387303256,13.390753586970572,461,96.09544468546638,1.1719148461152054,29.571659623310897
640096,1571.0,1146,36,1.3050253213868328,5.317491234904558,4.668066548215151,77.64893278114049,9.504386820042892,246,69.91869918699187,1.4733727440883868,29.9677148290655
1155470,60.0,103,4,0.0,48.94259818731118,10.299625468164795,73.6109589041096,19.961367013372957,61,40.98360655737705,3.779068257938328,4.6812581991063595
1440971,474.0,567,24,8.333333333333332,5.555555555555555,4.5,75.0228310502283,11.286555446516193,157,26.751592356687897,0.6096583484331052,13.552221066706286
2752412,3932.0,3220,163,2.039266731749647,13.0708319774379,8.784134565465685,62.91004846345631,12.130394857667586,499,97.99599198396794,2.0648434900007704,5.350266231810696
259990,0.0,30,4,7.6923076923076925,41.92307692307693,1.2987012987012987,86.41672674837778,4.531568998109641,78,48.717948717948715,1.2846647947998,55.047952975146956
211617,1019.0,698,21,4.798551380715256,2.806699864191942,7.949260042283298,72.44698817789454,17.414073071718537,150,97.33333333333331,1.659602016851198,22.249589490968802
727642,3911.0,3648,78,3.844427823485415,11.50336574420344,9.002102139235811,80.74175988514685,9.773787110789284,330,69.3939393939394,1.0146473128269122,27.34829592684954
465894,3504.0,2861,82,1.2803532008830023,20.838852097130243,10.36591284092012,76.02571644676024,9.961788349300738,353,92.35127478753542,2.9506711827153818,11.872692104800423
1139459,107.0,77,14,4.792332268370607,19.169329073482427,2.815315315315315,25.068493150684933,10.289156626506024,120,58.333333333333336,1.2672680631773499,10.709672915139457
519577,238.0,201,15,18.387909319899247,17.46431570109152,9.002770083102494,67.6962913464751,34.53174265019173,399,41.10275689223057,1.1719148461152054,29.571659623310897
519577,3326.0,3480,119,0.17548990933021352,15.365116505800916,8.692267773741568,54.205361698787144,13.643449911084765,1036,67.37451737451737,1.1719148461152054,29.571659623310897
1540389,1125.0,1046,18,5.084325396825397,27.430555555555557,9.666203059805285,68.28277886497065,6.890644285361639,116,96.55172413793102,1.7206692595182127,10.48794255072282
463186,10.0,55,3,57.63052208835341,17.46987951807229,12.048192771084338,64.9583669084072,20.003308519437553,51,100.0,2.0017876187967687,49.73846255710786
1540389,30.0,1883,18,1.6714697406340056,55.177713736791546,12.790506016152959,107.13198521417699,9.613658536585366,207,60.869565217391305,1.7206692595182127,10.48794255072282
426671,1422.0,60,11,2.8761061946902653,12.212389380530974,0.22123893805309736,72.12043378995433,11.162102473498233,96,100.0,1.346236327287301,29.378609700090458
519577,1069.0,265,15,0.30952380952380953,6.309523809523809,2.238095238095238,51.49374627754616,10.006712962962963,230,100.0,1.1719148461152054,29.571659623310897
